                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.85267,                0.46951,                 1.0279,                0.87075,                0.69178,                0.77343,                0.55208,                  1.095,                  0.568,                 1.2111,              0.0001189,              0.0001189,              0.0001189
                     91,                 0.9363,                0.48898,                 1.0307,                0.86869,                   0.69,                0.77186,                0.55077,                 1.0966,                 0.5681,                 1.2106,               0.000109,               0.000109,               0.000109
                     92,                0.92881,                0.48134,                 1.0264,                0.87254,                 0.6878,                0.77276,                0.55116,                  1.097,                0.56597,                 1.2115,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.95414,                0.49001,                 1.0256,                0.87277,                0.68721,                0.77302,                0.55172,                  1.095,                0.56632,                 1.2153,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.92906,                0.47959,                 1.0218,                0.87208,                 0.6869,                 0.7737,                0.55305,                 1.0934,                0.56515,                 1.2138,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.91468,                0.47241,                 1.0151,                0.86831,                0.69048,                0.77402,                0.55331,                 1.0941,                0.56318,                 1.2106,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.92883,                0.47885,                 1.0191,                0.87081,                0.69057,                0.77377,                0.55261,                 1.0937,                0.56397,                  1.209,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.91592,                0.47346,                 1.0157,                0.86971,                0.68977,                0.77294,                0.55272,                 1.0928,                0.56325,                 1.2082,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.92945,                0.48077,                 1.0144,                0.86415,                0.69465,                0.77345,                0.55252,                 1.0924,                0.56349,                 1.2068,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.92951,                0.47156,                 1.0132,                 0.8666,                 0.6934,                0.77304,                0.55277,                  1.091,                0.56299,                 1.2067,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.92652,                0.47512,                  1.014,                0.86632,                0.69069,                0.77354,                0.55266,                 1.0925,                0.56263,                 1.2073,               1.99e-05,               1.99e-05,               1.99e-05
